NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
575,SOL 200TR,11820,하락55,-0.46%,0,2234,18900,0.04,81370,N/A,N/A
576,LS전선아시아,7280,하락30,-0.41%,500,2229,30625,1.71,83857,-115.56,-1.27
577,하이트진로홀딩스,9580,하락10,-0.10%,5000,2223,23207,7.50,1977,7.53,5.62
578,넥센,4135,상승5,+0.12%,500,2214,53544,1.56,6244,13.51,1.57
579,사조산업,44100,상승100,+0.23%,5000,2205,5000,3.88,1058,3.15,14.51
580,TIGER 차이나과창판STAR50(합성),8750,하락5,-0.06%,0,2192,25050,2.11,4944,N/A,N/A
581,KODEX 골드선물(H),13000,상승30,+0.23%,0,2184,16800,0.15,34830,N/A,N/A
582,대교,2575,하락15,-0.58%,500,2181,84703,1.94,898,-2.00,-29.64
583,한독,15810,상승90,+0.57%,500,2176,13764,1.78,11293,20.37,2.80
584,이월드,1529,하락10,-0.65%,1000,2168,141806,0.61,18483,38.23,2.32
585,KODEX 국고채3년,57695,하락35,-0.06%,0,2168,3758,0.04,170,N/A,N/A
586,TIGER KRX BBIG K-뉴딜,7320,하락40,-0.54%,0,2167,29600,1.40,31154,N/A,N/A
587,흥국화재,3370,하락10,-0.30%,5000,2165,64243,1.74,11990,1.49,20.91
588,금호석유우,71600,상승200,+0.28%,5000,2165,3023,7.97,885,2.31,N/A
589,이구산업,6430,하락550,-7.88%,500,2150,33442,2.13,3741884,37.60,4.58
590,디앤디플랫폼리츠,3330,하락15,-0.45%,1000,2145,64400,1.22,16278,28.46,0.38
591,KODEX K-메타버스액티브,8470,하락150,-1.74%,0,2134,25200,0.26,69146,N/A,N/A
592,두산우,53000,상승200,+0.38%,5000,2118,3996,13.40,452,-1.63,N/A
593,NI스틸,7400,상승110,+1.51%,500,2116,28600,4.18,151311,4.34,29.57
594,TIGER Fn반도체TOP10,7900,하락130,-1.62%,0,2113,26750,0.00,130759,N/A,N/A
595,HDC랩스,8130,상승20,+0.25%,500,2110,25958,4.42,2433,16.97,4.72
596,대창단조,7340,상승40,+0.55%,500,2097,28572,7.34,343246,5.71,16.29
597,S-Oil우,52100,하락100,-0.19%,2500,2095,4022,12.84,1458,2.89,N/A
598,부국증권,20200,0,0.00%,5000,2095,10370,1.34,99,6.38,6.25
599,화승인더,3780,하락35,-0.92%,500,2091,55320,8.68,6688,252.00,0.24
600,우진,10250,상승110,+1.08%,500,2083,20324,1.00,250311,22.00,6.38
